gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18	reflen
yfeH.t01	687.339	620.097	904.907	720.042	688.309	729.514	578.888	849.076	622.332	999
yfeK.t01	300.714	297.169	230.084	175.931	201.359	230.925	279.684	290.888	131.228	375
yfeN.t01	487.832	474.54	404.807	271.015	382.43	522.514	409.667	681.535	464.09	765
yfeO.t01	709.359	654.057	698.773	890.61	740.92	758.166	786.367	861.122	746.193	1257
yfeR.t01	534.246	530.712	663.802	467.786	428.539	594.152	568.009	596.141	413.978	927
yfeS.t01	460.153	567.671	771.096	677.042	715.878	589.98	654.59	839.223	394.707	735
yfeW.t01	738.86	659.76	775.53	599.144	613.264	726.683	753.032	1027.64	664.381	1305
yfeX.t01	1785.94	2021.08	2240.55	1831.43	1673.76	1586.92	1832.06	1032.43	1544.44	900
yfeY.t01	1390.12	1365.97	1296.54	836.346	776.575	693.7	920.517	617.76	622.126	576
yfeZ.t01	541.377	436.069	549.518	550.134	522.256	437.155	383.402	396.95	461.048	450
yffB.t01	301.139	267.69	420.892	240.099	276.594	196.141	228.219	283.132	186.935	357
yffL.t01	527.466	510.529	648.311	584.673	498.955	475.419	722.481	632.314	509.144	642
yffM.t01	152.658	115.346	203.405	104.269	123.703	135.32	110.453	157.775	126.392	246
yffN.t01	229.326	248.054	142.555	151.951	160.618	182.917	203.285	242.342	159.95	369
yffO.t01	238.564	201.906	218.283	250.647	131.058	196.565	182.232	326.132	252.648	417
yffP.t01	351.87	476.485	368.293	393.245	428.512	360.795	342.84	452.822	250.524	594
yffQ.t01	306.727	336.315	376.137	332.944	274.543	280.805	293.939	305.284	210.583	378
yffR.t01	335.445	308.181	430.708	456.866	439.641	475.239	507.666	447.399	301.845	393
yffS.t01	688.698	631.537	781.823	755.126	670.459	540.72	547.576	552.457	548.423	810
yfgD.t01	250.178	258.718	301.721	214.308	284.133	305.514	211.501	212.808	297.835	360
yfgF.t01	1177.84	1197.95	1422.1	1002.59	1147.97	1265.77	1222.87	1505.34	1159.12	2244
yfgG.t01	1400.73	1236.52	1376.46	1373.58	1447.24	1108.09	699.364	400.262	616.89	192
yfgH.t01	257.714	306.043	285.639	231.231	210.109	224.798	297.445	373.322	238.588	519
yfgI.t01	302.416	257.409	269.689	240.206	201.755	270.472	317.252	282.985	225.025	540
yfgJ.t01	100.893	85.2686	76.9336	124.682	77.4563	65.4152	171.059	141.245	55.1753	216
yfgM.t01	884.677	810.747	1002.85	944.15	769.748	612.481	711.79	524.493	674.474	621
yfgO.t01	709.241	598.112	586.27	516.763	531.628	475.721	563.397	676.458	550.291	1062
yfhG.t01	668.056	583.421	1110.61	778.974	795.66	558.531	479.052	367.195	340.602	714
yfhH.t01	434.18	446.081	543.356	334.259	391.733	336.963	410.502	406.95	207.074	849
yfhL.t01	190.003	201.804	202.34	143.051	141.743	134.543	191.483	116.955	188.848	261
yfhM.t01	3044.36	3120.03	3725.45	3948.87	3729.6	3264.92	3354.96	2980.07	2745.29	4962
yfhR.t01	385.971	342.743	484.387	354.113	341.561	373.98	437.664	460.527	360.83	855
yfiB.t01	474.32	532.904	726.282	449.027	400.205	378.14	275.622	208.48	239.515	483
yfiE.t01	332.278	231.525	378.995	304.51	266.177	273.188	287.574	295.56	253.818	882
yfiF.t01	694.831	729.336	940.217	682.556	617.841	524.737	568.795	431.358	540.811	1038
